team,n_picks,pct_college,pct_hs,pct_pitcher,pct_hitter,pb_C,pb_IF,pb_OF,pb_P,recent_first_round,position_breakdown
Philadelphia Phillies,8,37.5,62.5,37.5,62.5,0,3,2,3,"[{'year': 2025, 'overall': 26, 'player': 'Gage Wood', 'position': 'P', 'school': 'University of Arkansas', 'level': 'College'}, {'year': 2024, 'overall': 27, 'player': 'Dante Nori', 'position': 'OF', 'school': 'Northville HS', 'level': 'HS'}, {'year': 2023, 'overall': 27, 'player': 'Aidan Miller', 'position': 'SS', 'school': 'J. W. Mitchell HS', 'level': 'HS'}, {'year': 2022, 'overall': 17, 'player': 'Justin Crawford', 'position': 'OF', 'school': 'Bishop Gorman HS', 'level': 'HS'}, {'year': 2021, 'overall': 13, 'player': 'Andrew Painter', 'position': 'P', 'school': 'Calvary Christian Academy', 'level': 'HS'}]","{'C': 0, 'IF': 3, 'OF': 2, 'P': 3}"
Pittsburgh Pirates,13,46.2,53.8,53.8,46.2,1,3,2,7,"[{'year': 2025, 'overall': 6, 'player': 'Seth Hernandez', 'position': 'P', 'school': 'Corona HS', 'level': 'HS'}, {'year': 2024, 'overall': 9, 'player': 'Konnor Griffin', 'position': 'SS', 'school': 'Jackson Preparatory School', 'level': 'HS'}, {'year': 2024, 'overall': 37, 'player': 'Levi Sterling', 'position': 'P', 'school': 'Notre Dame HS', 'level': 'HS'}, {'year': 2023, 'overall': 1, 'player': 'Paul Skenes', 'position': 'P', 'school': 'Louisiana State University', 'level': 'College'}, {'year': 2022, 'overall': 4, 'player': 'Termarr Johnson', 'position': 'SS', 'school': 'Benjamin E. Mays HS', 'level': 'HS'}]","{'C': 1, 'IF': 3, 'OF': 2, 'P': 7}"
San Diego Padres,11,0.0,100.0,54.5,45.5,0,3,2,6,"[{'year': 2025, 'overall': 25, 'player': 'Kruz Schoolcraft', 'position': 'P', 'school': 'Sunset HS', 'level': 'HS'}, {'year': 2024, 'overall': 25, 'player': 'Kash Mayfield', 'position': 'P', 'school': 'Elk City HS', 'level': 'HS'}, {'year': 2023, 'overall': 25, 'player': 'Dillon Head', 'position': 'OF', 'school': 'Homewood-Flossmoor Community HS', 'level': 'HS'}, {'year': 2022, 'overall': 15, 'player': 'Dylan Lesko', 'position': 'P', 'school': 'Buford HS', 'level': 'HS'}, {'year': 2022, 'overall': 39, 'player': 'Robby Snelling', 'position': 'P', 'school': 'Robert McQueen HS', 'level': 'HS'}]","{'C': 0, 'IF': 3, 'OF': 2, 'P': 6}"
San Francisco Giants,8,87.5,12.5,37.5,62.5,2,1,2,3,"[{'year': 2025, 'overall': 13, 'player': 'Gavin Kilen', 'position': 'SS', 'school': 'University of Tennessee', 'level': 'College'}, {'year': 2024, 'overall': 13, 'player': 'James Tibbs III', 'position': 'OF', 'school': 'Florida State University', 'level': 'College'}, {'year': 2023, 'overall': 16, 'player': 'Bryce Eldridge', 'position': 'TWP', 'school': 'James Madison HS', 'level': 'HS'}, {'year': 2022, 'overall': 30, 'player': 'Reggie Crawford', 'position': 'TWP', 'school': 'University of Connecticut', 'level': 'College'}, {'year': 2021, 'overall': 14, 'player': 'Will Bednar', 'position': 'P', 'school': 'Mississippi State University', 'level': 'College'}]","{'C': 2, 'IF': 1, 'OF': 2, 'P': 3}"
Seattle Mariners,11,54.5,45.5,45.5,54.5,2,3,1,5,"[{'year': 2025, 'overall': 3, 'player': 'Kade Anderson', 'position': 'P', 'school': 'Louisiana State University', 'level': 'College'}, {'year': 2025, 'overall': 35, 'player': 'Luke Stevenson', 'position': 'C', 'school': 'University of North Carolina at Chapel Hill', 'level': 'College'}, {'year': 2024, 'overall': 15, 'player': 'Jurrangelo Cijntje', 'position': 'P', 'school': 'Mississippi State University', 'level': 'College'}, {'year': 2023, 'overall': 22, 'player': 'Colt Emerson', 'position': 'SS', 'school': 'John Glenn HS', 'level': 'HS'}, {'year': 2023, 'overall': 29, 'player': 'Jonny Farmelo', 'position': 'OF', 'school': 'Westfield HS', 'level': 'HS'}]","{'C': 2, 'IF': 3, 'OF': 1, 'P': 5}"
St. Louis Cardinals,9,77.8,22.2,55.6,44.4,0,3,1,5,"[{'year': 2025, 'overall': 5, 'player': 'Liam Doyle', 'position': 'P', 'school': 'University of Tennessee', 'level': 'College'}, {'year': 2024, 'overall': 7, 'player': 'JJ Wetherholt', 'position': 'SS', 'school': 'West Virginia University', 'level': 'College'}, {'year': 2023, 'overall': 21, 'player': 'Chase Davis', 'position': 'OF', 'school': 'University of Arizona', 'level': 'College'}, {'year': 2022, 'overall': 22, 'player': 'Cooper Hjerpe', 'position': 'P', 'school': 'Oregon State University', 'level': 'College'}, {'year': 2021, 'overall': 18, 'player': 'Michael McGreevy', 'position': 'P', 'school': 'University of California, Santa Barbara', 'level': 'College'}]","{'C': 0, 'IF': 3, 'OF': 1, 'P': 5}"
Tampa Bay Rays,16,37.5,62.5,31.2,68.8,0,8,3,5,"[{'year': 2025, 'overall': 14, 'player': 'Daniel Pierce', 'position': 'SS', 'school': 'Mill Creek HS', 'level': 'HS'}, {'year': 2025, 'overall': 42, 'player': 'Brendan Summerhill', 'position': 'OF', 'school': 'University of Arizona', 'level': 'College'}, {'year': 2024, 'overall': 18, 'player': 'Theo Gillen', 'position': 'OF', 'school': 'Westlake HS', 'level': 'HS'}, {'year': 2023, 'overall': 19, 'player': 'Brayden Taylor', 'position': 'SS', 'school': 'Texas Christian University', 'level': 'College'}, {'year': 2023, 'overall': 31, 'player': 'Adrian Santana', 'position': 'SS', 'school': 'Doral Academy Preparatory School', 'level': 'HS'}]","{'C': 0, 'IF': 8, 'OF': 3, 'P': 5}"
Texas Rangers,9,66.7,22.2,33.3,66.7,1,4,1,3,"[{'year': 2025, 'overall': 12, 'player': 'Gavin Fien', 'position': 'SS', 'school': 'Great Oak HS', 'level': 'HS'}, {'year': 2024, 'overall': 30, 'player': 'Malcolm Moore', 'position': 'C', 'school': 'Stanford University', 'level': 'College'}, {'year': 2023, 'overall': 4, 'player': 'Wyatt Langford', 'position': 'OF', 'school': 'University of Florida', 'level': 'College'}, {'year': 2022, 'overall': 3, 'player': 'Kumar Rocker', 'position': 'P', 'school': '', 'level': ''}, {'year': 2021, 'overall': 2, 'player': 'Jack Leiter', 'position': 'P', 'school': 'Vanderbilt University', 'level': 'College'}]","{'C': 1, 'IF': 4, 'OF': 1, 'P': 3}"
Toronto Blue Jays,8,50.0,50.0,50.0,50.0,0,4,0,4,"[{'year': 2025, 'overall': 8, 'player': 'JoJo Parker', 'position': 'SS', 'school': 'Purvis HS', 'level': 'HS'}, {'year': 2024, 'overall': 20, 'player': 'Trey Yesavage', 'position': 'P', 'school': 'East Carolina University', 'level': 'College'}, {'year': 2023, 'overall': 20, 'player': 'Arjun Nimmala', 'position': 'SS', 'school': 'Strawberry Crest HS', 'level': 'HS'}, {'year': 2022, 'overall': 23, 'player': 'Brandon Barriera', 'position': 'P', 'school': 'American Heritage HS', 'level': 'HS'}, {'year': 2021, 'overall': 19, 'player': 'Gunnar Hoglund', 'position': 'P', 'school': 'University of Mississippi', 'level': 'College'}]","{'C': 0, 'IF': 4, 'OF': 0, 'P': 4}"
Washington Nationals,9,44.4,44.4,33.3,66.7,1,3,2,3,"[{'year': 2025, 'overall': 1, 'player': 'Eli Willits', 'position': 'SS', 'school': 'Fort Cobb-Broxton HS', 'level': 'HS'}, {'year': 2024, 'overall': 10, 'player': 'Seaver King', 'position': 'SS', 'school': 'Wake Forest University', 'level': 'College'}, {'year': 2024, 'overall': 39, 'player': 'Caleb Lomavita', 'position': 'C', 'school': 'University of California, Berkeley', 'level': 'College'}, {'year': 2023, 'overall': 2, 'player': 'Dylan Crews', 'position': 'OF', 'school': 'Louisiana State University', 'level': 'College'}, {'year': 2022, 'overall': 5, 'player': 'Elijah Green', 'position': 'OF', 'school': 'IMG Academy', 'level': 'HS'}]","{'C': 1, 'IF': 3, 'OF': 2, 'P': 3}"
