player_id,player,mlb_id,fv,hit,power,run,arm,field,fb_grade,fb_velo,cb_grade,sl_grade,ch_grade,control,height,weight,bats,throws,writeup,commits_to
p0020,Cameron Flukey,805619,45,,,,,,55,,50,,45,50,"6' 6""",210,R,R,"Egg Harbor Township is a small town of less than 50,000 people not far from Atlantic City. Not surprisingly, it’s never had a player drafted from its high school -- that might change this July. Flukey, a long and lanky right-hander, pitched at Perfect Game National and threw well at the Area Code Games last summer. He came out of the gates hot once his season got started, not giving up a run over his first four starts in April, and his name has steadily climbed up Draft boards.Flukey stands at 6-foot-6 with long levers and a body that’s easy to see standing atop a big league mound. While he was up to about 93 mph at the Area Code Games, he’s been cranking it up to 96 mph this spring with some life up in the zone after adding around 20 pounds to a frame that could carry more weight, which could mean more consistent velocity in the future. He’s throwing his curve a bit harder now too, in the 80-82 mph range, and it could be an average pitch, but it also can get slurvy. There’s feel for a changeup, but it’s a bit of a firm 84-85 mph offering.While Flukey throws strikes with an over-the-top delivery, some see a little reliever risk because of the lack of present secondary stuff. But most give him a very good chance to start, given his frame and the upward trajectory of his stuff. That’s why the Coastal Carolina recruit’s name has floated at least into top-five-rounds conversations.",Coastal Carolina
p0023,Derek Curiel,815156,,,,,,,,,,,,,"6' 2""",192,L,L,"Scouting grades: Hit: 50 | Power: 40 | Run: 50 | Arm: 50 | Field: 55 | Overall: 45Orange Lutheran High School has produced three first-rounders over the years, starting with Gerrit Cole -- a first-rounder in 2008 who went on to UCLA and became the No. 1 overall pick in 2011 -- along with right-hander Cole Winn in 2018 and Mikey Romero in 2022. (Brewers outfielder Garrett Mitchell was a 14th-round pick in high school, then followed Cole’s path and was a Bruins first-rounder in 2020.) Curiel entered the summer showcase circuit looking like he might continue that line, and while he showed off some skills and played for Team USA, scouts didn’t think he had the kind of summer performance they expected from him, and he continued to get mixed results from evaluators this spring before removing his name from the Draft so he can head to Louisiana State.Tools-wise, Curiel has a package that reminds some of a Pete Crow-Armstrong or a Michael A. Taylor. A left-handed hitter, Curiel’s bat-to-ball skills are excellent, and he rarely strikes out. But while there is some gap power in there, it’s been softer contact than some hoped to see at this point. He hasn’t gotten much stronger or grown from when he first arrived on the high school scene and he’s yet to show he can add strength to his narrow frame or have impact at the plate.While Curiel is now mostly an average runner, he does have outstanding instincts that will let him play center field for a long time. That with his knack for finding the barrel gives him a pretty decent floor as a big leaguer, and there are some who think he might come out of LSU as a high floor college hitter. There might have been some prospect fatigue here as Curiel has been “famous” for a while, with the industry reminding itself that it took a player like Taylor a long time to fully develop.",Louisiana State
p0012,Ryder Helfrick,805785,40,40,55,50,45,50,,,,,,,"6' 1""",210,R,R,"Over the summer, Helfrick put his name on the map as an intriguing high school catching prospect, particularly after he won MVP honors at the Perfect Game All-American Classic at Chase Field in Phoenix. But while he has all the raw tools you want from the position, he’s struggled to replicate that performance this spring, leading some to think he’s likely headed to college.A right-handed hitter, Helfrick does have tremendous bat speed that can lead to impacting the baseball, like he did with his triple in the All-American Classic. But his swing gets disconnected and he doesn’t sync up his lower half. It’s power-over-hit now and he hasn’t shown good plate coverage, especially this spring, with a bit of a one-dimensional approach.Helfrick does run well, especially for a catcher, and that athleticism should help him become a better receiver. He has plenty of raw arm strength, but he needs to clean up his throwing mechanics to improve his accuracy to second base, something that should come with more instruction. It is an intriguing set of tools at a premium position that lacks depth in this Draft class, but it might be tough for teams to sign him away from his commitment to Arkansas.",Arkansas
p0013,Liam Peterson,805794,45,,,,,,60,,50,,45,45,"6' 5""",225,R,R,"Calvary Christian High School in Florida has a stacked pitching staff that has three Top 150 prospects. Peterson, a tall and projectable right-hander who offers some good now stuff with more in the tank to come, led that group heading into the spring after those ingredients were on display at summer showcase events like the PDP League, East Coast Pro Showcase, MLB’s High School All-American Game and Perfect Game’s All-American Classic, but a lack of consistency this spring has impacted his stock.It’s still easy to dream on what the 6-foot-5 Peterson can become when he’s fully matured and fills out that frame. His fastball still excites scouts, throwing it up to 96 mph with more consistent velocity to come. Over the summer, his 78-82 mph slider showed good lateral shape and break, featuring good depth when he stays on top of it. But he’s largely scrapped it this spring, throwing his softer 12-to-6 curve, but not consistently. He has feel for a changeup, thrown in the low 80s, but he doesn’t use it much.Like with many young high school arms, Peterson is more control than command, and his delivery can get out of sync at times. Added strength should allow him to repeat his delivery so he should be a solid strike-thrower in the future. The upside as a starting pitcher could still have the Florida recruit in top three round conversations.",Florida
p0029,Hunter Dietz,806059,45,,,,,,50,,,50,50,55,"6' 6""",235,R,L,"One of the three big starters at Calvary Christian High School in Florida, Dietz looked like he might be the No. 2 guy on that stacked prep rotation. A big lefty, Dietz has transformed his body, and his effectiveness on the mound had improved as a result. After a solid tour of summer showcase events, he hasn’t taken the step forward as one of the best high school southpaws in the class many hoped to see this spring.Dietz still offers an intriguing combination of size at 6-foot-6, stuff and feel for pitching. The lefty throws his fastball typically in the low-90s and there’s hope that continued improvement with his condition that led to a better delivery over the summer will create more consistent velocity in the future, though scouts noted his arm speed hasn’t been as impressive this spring as it was last summer. His hard and short low-80s slider misses bats and could be an out pitch in the future. He has some feel for a changeup -- although he hasn’t used it much, there’s belief it will develop into at least an average offering.Despite his size, Dietz does an excellent job repeating his delivery and arm slot, showing an ability to use both sides of the plate and throw all of his pitches for strikes. The Arkansas recruit reminds some of a high school version of Oklahoma’s College World Series standout Jake Bennett, who was a second rounder in the 2022 Draft.",Arkansas
p0014,Sawyer Strosnider,820831,40,40,55,55,60,55,,,,,,,"6' 2""",200,L,L,"One of the top all-around athletes in the high school crop, Strosnider finished second at the 2023 Texas 3-A state track and field championships with a high jump of 6 feet, 7 inches and also earned all-region accolades in basketball as a junior. He also offers an intriguing combination of power and speed on the diamond, and he wowed observers with a batting-practice display at the Area Code Games last August that shattered a window of a dorm beyond the right-field fence. He could go as early as the third round to a team that believes enough in his hitting ability.Strosnider's most attractive attribute is his plus raw power, which he generates with a quick left-handed stroke, strength and a heavy emphasis on launching balls to his pull side. His aggressive approach and tendency to chase breaking balls out of the zone create serious swing-and-miss concerns, however. He'll need to make adjustments to make more contact and fully tap into his pop against more advanced pitching.While there are questions about Strosnider's bat, the rest of his tools are solid or better. He has the quickness to steal bases and possibly stay in center field, and he also has the arm strength to fire low-90s fastballs as a left-handed pitcher and handle right field if he has to shift to a corner. He turns 19 three weeks before the Draft, which takes him out of the mix for some age-focused teams and will make him Draft-eligible as a sophomore in 2026 if he attends Texas Christian.",Texas Christian
p0006,AJ Gracia,806088,55,55,55,45,45,50,,,,,,,"6' 3""",195,L,L,"A solid player during his New Jersey high school days, Gracia got off to a very good start at Duke, earning freshman All-American honors by finishing with a 1.000 OPS in 2024. Gracia got off to a very rough start in his sophomore year as he tried to incorporate a swing change, but he got hot once he abandoned that switch, allowing him to finish with 15 homers and an OPS of 1.007. He followed coach Chris Pollard to the University of Virginia and missed the fall due to an undisclosed illness but returned to have a productive junior season with the Cavaliers.When he's locked in, Gracia looks like one of the better college bats in the class. Swinging from the left side of the plate, he makes excellent swing decisions and shows off plus contact skills. His advanced approach led to a Blue Devils-record 57 walks as a sophomore, and he really limits his swing-and-miss. That gives more confidence that he should continue getting to his solid raw power at the next level, and there's definitely the chance he can keep adding strength to his 6-foot-3 frame.Though he's a fringy runner, scouts give Gracia a chance to stick in center field because of his excellent instincts and efficient routes. If a move to a corner is necessary, left would be a more likely landing spot because his arm is a little short for the prototypical right fielder. His continued consistent production in a year light on college bats hasn't hurt his stock.",Virginia
p0011,Jared Grindlinger,828796,50,50,40,40,60,50,60,90-93,,55,60,55,"6' 3""",190,L,L,"A year ago, Trent Gringlinger was a well-regarded prep catcher out of Huntington Beach HS in California, one who went on to play college ball at Tennessee. Scouts in southern California were abuzz when Trent's younger brother, Jared, reclassified in February from 2027 to be a part of this year's Draft class. The 17-year-old is legitimate two-way player for the Oilers, and evaluators seem to prefer his left-handed ability on the mound.One of the youngest players in the class -- he just turned 17 in April -- Grindlinger is all about projection on the mound. His present stuff doesn't jump off the page, but it's very easy to dream on a lot more to come as he fills out his 6-foot-3 frame. His fastball has been clocked up to 95 mph at times -- touching 96 mph last summer -- but he typically sits around 90-93 mph, with good arm speed and strength that some scouts think points to a future plus heater. He's been using an 80-82 mph kick changeup lately, though some favored his feel for a traditional circle change he'd used previously, and he'll occasionally try to throw two brands of slider, with the short, bullet one better than the sweepier version. He tends to be around the plate with his stuff.As a hitter, Grindlinger has a contact-oriented swing, albeit without much impact now, though some feel there is power to come, which would help him fit a likely corner outfield or first base profile better. His name was rushing up Draft boards, but if somehow things didn't work out, he could get the chance to keep playing both ways with his brother at Tennessee next year.&nbsp;",
p0015,Brody Bumila,837269,55,,,,,,65,100,,50,50,50,"6' 9""",255,L,L,"There have been only two prep left-handed pitchers from Massachusetts to sign out of high school and make it to the big leagues: Bill Travers back in 1970, Hall of Famer Tom Glavine in 1984, while current Marlins prospect Thomas White went in 2023. Bumila hopes to join that select group as he was racing up Draft boards this spring. The 6-foot-9 lefty, who helped lead his Bishop Feehan basketball team to a state championship this winter, has the chance to be just the fourth prep arm from the Bay State to go in the top 40 picks.All discussions about Bumila start with his elite fastball. Not only can he crank it up to over 100 mph, but Bumila’s extension and low release height are outliers, creating 19-20 inches of inverted vertical break. In the Massachusetts high school ranks, he doesn’t need much more, though he does have a decent slider and changeup. He can vary the shape of his 88-89 mph breaker, and it should translate to pro ball, while he sells his upper-80s cambio with good arm speed, a pitch with some armside fade to it.Bumila’s already-premium stuff could take another leap forward when he gets pro instruction; he likes digging into metrics and pitch design, so access to professional technology should help. He throws strikes, though he’s definitely control over command at this point. Because of his overall athleticism, the Texas recruit does a nice job of keeping all of his large moving parts fairly coordinated in repeating his delivery. He did sprain his UCL in 2025 but returned this spring with no ill effects after having internal brace surgery last May.",
p0009,Tyler Bell,815628,45,45,45,50,55,60,,,,,,,"6' 1""",190,S,R,"For the second time in five years, Lincoln-Way East HS (Frankfort, Ill.) has a glove-first shortstop who's attracting scouts. Bell is more highly regarded at the same stage than Ryan Ritter, who turned down the Cubs as a 33rd-rounder in 2019 and emerged as a fourth-rounder out of Kentucky three years later. Bell hasn't performed well offensively as a senior, but his defensive prowess still could land him in the second or third round.One of the top shortstops in the 2024 high school class, Bell plays quicker than his average speed and covers ground to both sides. He's a smooth defender who can execute throws from any angle with solid arm strength. He also has a good internal clock and the athleticism to play all over the diamond if he becomes more of a utilityman than an everyday player.A switch-hitter, Bell has impressive bat speed and could develop 20-homer power if he makes projectable strength gains and improvements at the plate. But he didn't hit on the showcase circuit and has been too passive this spring, taking too many hittable pitches and not doing much damage. He'll turn 19 before the Draft, which will rule him out for some clubs, and he'll be a sophomore-eligible in 2026 if he attends Kentucky.",Kentucky
