player_id,player,stat_type,avg,obp,slg,ops,hr,rbi,sb,era,whip,k_9,bb_9,ip,w,sv
p0163,Ethan McElvain,PITCHER,,,,,,,,1.88,1.02,12.91,3.05,38.1,6,6
p0172,Macon Winslow,BATTER,.282,.427,.466,.894,10,57,0,,,,,,,
p0135,Ricky Ojeda,PITCHER,,,,,,,,3.77,1.13,9.00,2.90,62.0,3,3
p0241,Luke McNeillie,PITCHER,,,,,,,,3.97,1.68,12.71,4.50,34.0,3,1
p0213,Alex Sosa,BATTER,.338,.448,.671,1.119,18,71,2,,,,,,,
p0268,Cal Scolari,PITCHER,,,,,,,,3.32,1.39,13.40,5.50,57.0,5,0
p0251,Isaac Morton,PITCHER,,,,,,,,3.26,1.17,9.35,3.71,60.2,4,0
p0243,Joe Tiroly,BATTER,.319,.408,.576,.984,16,66,2,,,,,,,
p0203,Ty Horn,PITCHER,,,,,,,,4.03,1.23,9.50,2.80,82.2,3,1
p0181,Kam Durnin,BATTER,.329,.442,.570,1.012,9,25,11,,,,,,,
p0194,Amp Phillips,PITCHER,,,,,,,,4.39,1.42,9.40,4.80,67.2,3,0
p0237,Jarren Purify,BATTER,.344,.454,.534,.988,5,21,13,,,,,,,
p0230,Lorenzo Carrier,BATTER,.387,.540,.784,1.324,20,69,6,,,,,,,
p0154,Cole Stokes,PITCHER,,,,,,,,5.60,1.70,12.74,10.19,17.2,1,0
p0207,Tyler Minick,BATTER,.283,.336,.465,.800,5,21,5,,,,,,,
p0255,Wil Libbert,PITCHER,,,,,,,,6.19,1.65,9.56,4.31,48.0,2,0
p0177,AJ Evasco,BATTER,.348,.415,.548,.962,8,51,5,,,,,,,
p0198,Ryan Zuckerman,BATTER,.345,.438,.720,1.158,23,79,6,,,,,,,
p0376,Fabio Bundi,PITCHER,,,,,,,,2.99,1.13,12.06,2.49,90.1,8,1
p0384,Ned Frutchey,PITCHER,,,,,,,,3.48,1.13,11.50,2.27,67.1,7,0
p0393,Parker Ishee,PITCHER,,,,,,,,1.29,0.86,12.86,0.00,7.0,0,0
p0411,Luke Ekdall,PITCHER,,,,,,,,4.35,1.39,13.05,4.46,80.2,8,0
p0475,Jimmy Anderson,BATTER,.465,.544,1.030,1.574,26,88,18,,,,,,,
p0479,Dylan Hicks,PITCHER,,,,,,,,0.75,0.75,11.00,3.00,36.0,1,2
p0494,Gabe Jones,BATTER,.326,.446,.543,.989,1,15,1,,,,,,,
